From,to,year
LaAh,u30,2016
LaAh,LBP,2016
LaAh,SueTa,2015
AlBa,u30,2016
AlBa,GoeUn,2012
AlBa,UnHa,2015
AlBa,NDR,2015
LeDe,u30,2016
LeDe,UnBo,
LeDe,KoJo,
LeDe,jone,2015
LeDe,SZ,2016
LeDe,WiWo,2015
LeDe,ZDF,
LeDe,NDR,
LaDi,u30,2016
LaDi,HHU,2009
LaDi,KaJo,2012
LaDi,LBS,2012
LaDi,PWS,2014
LaDi,KDJ,2014
LaDi,ZDF,
LaDi,ARTE,
LaDi,3SAT,
SoFa,u30,2016
SoFa,DeJoSc,
SoFa,FrJo,
SoFa,DiZe,
SoFa,Vice,2016
GiFo,u30,2016
GiFo,UnEd,
GiFo,DPA,2016
GiFo,FrJo,2013
GiFo,UnOx,
GiFo,DPA,2014
DoTo,u30,2016
DoTo,MaeOd,2018
DoTo,NBR,2016
DoTo,SueP,
DoTo,ScZe,
DoTo,MaOb,
DoTo,LaRu,
DoTo,AlRh,2016
DoTo,MaeOd,2011
DoTo,LeUn,2005
DoTo,KaJo,2011
TeSi,u30,2016
TeSi,TeUn,2007
TeSi,RBB,2011
TeSi,FrJo,2017
TeSi,DeFu,2014
TeSi,DeSp,2016
TeSi,FJS,2012
ThRe,UnKu,2012
ThRe,DPA,2020
ThRe,AxSp,2018
ThRe,Welt,2016
ThRe,FAZ,2014
ThRe,UnLe,2008
ThRe,MIFo,2014
ThRe,LeAw,2015
ThRe,EuNeAw,2015
ThRe,DpIgAw,2015
ThRe,DeRe,2015
ThRe,RiPr,2016
ThRe,NaPr,2016
ThRe,Welt,2015
ThRe,u30,2016
MiOl,UnKo,2005
MiOl,DeSp,2011
MiOl,KoJo,
MiOl,u30,2016
LeNi,ASP,2017
LeNi,DNt,2014
LeNi,HNP,2016
LeNi,GSP,2016
LeNi,AMP,2016
LeNi,u30,2016
MaMe,LeMe,
MaMe,FrUnBe,2007
MaMe,CoUn,2014
MaMe,u30,2016
MaMe,ASP,2014
